username,score,bio,friends_count,streaks,label
xXx_profit_xXx,36,follow for follow back,12,0,1
creative_dan,3313,Dance teacher | choreographer,351,1501,0
follow_back_101,107,DM me to grow your account fast,2,0,1
creative_dan,500,Data scientist | ML researcher,310,314,0
9182736450,117,Click link below 💰,10,0,1
a8f7d3k9p2,185,Real estate investor | DM for passive income secrets,1,0,1
grace_beauty,500,Medical student | future doctor 🩺,889,675,0
xXx_profit_xXx,53,,12,0,1
everyday_elena,2343,Wildlife photographer based in Kenya,677,1049,0
get_rich_88,163,,12,0,1
fit_jessica,999,Dog lover 🐾 | Hiking | Books,922,688,0
earn_fast_2024,23,crypto signals ✅ 99% win rate,0,0,1
earn_fast_2024,207,,2,0,1
botanist_beth,1204,Artist | Digital creator ✨,839,1741,0
amy_joy,7187,Data scientist | ML researcher,55,843,0
amy_joy,500,Retired engineer | amateur astronomer 🔭,744,287,0
code_master,1023,Data scientist | ML researcher,403,2436,0
mark_adventure,500,Musician. Coffee addict. ☕,252,221,0
free_follower_bot,253,,2,0,1
follow_back_101,267,NFT investor | crypto tips,0,0,1
b.scott.official,500,Environmental activist 🌱,634,121,0
xXx_profit_xXx,248,,6,0,1
a8f7d3k9p2,220,Real estate investor | DM for passive income secrets,3,0,1
follow_back_101,31,DM me to grow your account fast,0,0,1
99882736450,172,📈 passive income daily,0,0,1
photo_by_anna,837,mom of 3 | foodie 🍕,634,1258,0
acc29471838,187,follow for follow back,7,0,1
photo_by_anna,500,Musician. Coffee addict. ☕,459,1118,0
amy_joy,500,High school teacher | making STEM fun,421,1885,0
daniel_f,500,Traveler | 50+ countries visited ✈️,381,747,0
mark_adventure,722,Teacher & lifelong learner 📚,110,1184,0
sarah_smith,500,Musician. Coffee addict. ☕,60,951,0
emma.j,500,mom of 3 | foodie 🍕,258,2306,0
amy_joy,500,Retired engineer | amateur astronomer 🔭,545,386,0
99882736450,178,btc eth airdrop free coins,9,0,1
the_real_sam,624,mom of 3 | foodie 🍕,942,385,0
99882736450,218,,13,0,1
acc29471838,168,🔞 link in bio,3,0,1
airdrop_winner99,289,♻️ repost to win $1000,4,0,1
emma.j,775,Blogger | Lifestyle & wellness,487,520,0
lisa_writes,500,News journalist @NYT,397,944,0
airdrop_winner99,147,♻️ repost to win $1000,2,0,1
emma.j,1689,Data scientist | ML researcher,369,1346,0
everyday_elena,500,Architect | sustainable design,347,81,0
1234567890ab,110,btc eth airdrop free coins,12,0,1
sarah_smith,500,Nurse practitioner | women's health advocate,388,1842,0
grace_beauty,1175,Data scientist | ML researcher,540,9,0
amy_joy,500,Nurse practitioner | women's health advocate,149,25,0
photo_by_anna,500,Chef | Recipe creator 🍳,819,2215,0
acc29471838,294,📈 passive income daily,10,0,1
crypto_king_9999,63,Get free followers — click bio link,8,0,1
amy_joy,923,Freelance illustrator | art prints available,277,1907,0
9182736450,200,investment advisor DM me,11,0,1
lena_captures,500,Architect | sustainable design,350,1995,0
grace_beauty,937,Fashion designer | PR welcome,723,1171,0
9182736450,66,DM me to grow your account fast,0,0,1
9182736450,10,crypto signals ✅ 99% win rate,1,0,1
q7w8e9r0t1y2,3,🔞 link in bio,13,0,1
9182736450,237,crypto signals ✅ 99% win rate,10,0,1
botanist_beth,500,Nurse practitioner | women's health advocate,854,1991,0
a8f7d3k9p2,259,crypto signals ✅ 99% win rate,7,0,1
mark_adventure,500,Gaming streamer | Twitch partner 🎮,510,1385,0
a8f7d3k9p2,128,,14,0,1
acc29471838,114,♻️ repost to win $1000,9,0,1
crypto_king_9999,2,Real estate investor | DM for passive income secrets,2,0,1
free_follower_bot,233,,10,0,1
tom_techie,1211,News journalist @NYT,919,981,0
real_human_01234,260,crypto signals ✅ 99% win rate,9,0,1
sarah_smith,500,Blogger | Lifestyle & wellness,10,1380,0
nft_dropper_69,291,📈 passive income daily,14,0,1
free_followers_now,240,earn $500/day 👇,4,0,1
creative_dan,500,Nurse practitioner | women's health advocate,602,1966,0
1234567890ab,225,NFT investor | crypto tips,4,0,1
acc29471838,222,Click link below 💰,8,0,1
journeys_with_kai,1296,Wildlife photographer based in Kenya,629,647,0
photo_by_anna,520,Data scientist | ML researcher,525,1021,0
acc29471838,284,investment advisor DM me,12,0,1
creative_dan,500,Entrepreneur | Founder @startup,509,1153,0
dev_pete,500,Chef | Recipe creator 🍳,420,1416,0
user8374629,211,Real estate investor | DM for passive income secrets,8,0,1
alex_travel,2106,Environmental activist 🌱,578,1303,0
photo_by_anna,500,Yoga instructor | wellness coach 🧘,603,2401,0
earn_fast_2024,177,follow for follow back,13,0,1
nft_dropper_69,68,Get free followers — click bio link,13,0,1
a8f7d3k9p2,65,📈 passive income daily,3,0,1
crypto_king_9999,17,Real estate investor | DM for passive income secrets,4,0,1
get_rich_88,293,,11,0,1
journeys_with_kai,500,Entrepreneur | Founder @startup,126,1372,0
b.scott.official,2229,Chef | Recipe creator 🍳,441,2352,0
a8f7d3k9p2,92,,1,0,1
q7w8e9r0t1y2,282,NFT investor | crypto tips,13,0,1
nft_dropper_69,38,,9,0,1
lisa_writes,530,Artist | Digital creator ✨,594,1703,0
code_master,1124,software engineer @ Google,802,1058,0
a8f7d3k9p2,155,btc eth airdrop free coins,9,0,1
1234567890ab,193,DM me to grow your account fast,11,0,1
lena_captures,500,Environmental activist 🌱,301,528,0
1234567890ab,208,,2,0,1
99882736450,117,FREE BTC airdrop → link in bio,14,0,1
