channel_name,subscribers,videos,about,label
TechTamilHub,125000,420,"Tutorials, coding, and tech reviews. Official channel.",0
KumbakonamVlogs,54000,310,"Travel vlogs and local food reviews. New videos weekly.",0
StudyWithSid,18000,210,"Study tips, exam prep, productivity, and student life.",0
MusicMixIndia,98000,1500,"Curated music mixes and playlists. No spam links.",0
FitnessWithKavi,42000,380,"Home workouts, diet plans, and fitness challenges.",0
ScienceBytes,76000,290,"Short science explanations and experiments.",0
GamerZoneTN,67000,840,"Gameplay highlights, walkthroughs, and live streams.",0
ArtByMeena,22000,175,"Sketching, digital art, and tutorials.",0
NewsDigestDaily,155000,1200,"Daily news summaries and explainers.",0
CookingCorner,89000,610,"Easy recipes, cooking hacks, and meal prep.",0
FREE_SUBS_NOW_889900,12,1,"Click https://bit.ly/freesubs to get 10k subs instantly!!!",1
GetRichFast_Airdrop777,54,3,"Earn BTC/ETH airdrop now! Visit http://scam.example and claim.",1
Like4Like_Sub4Sub_123456,21,5,"SUB4SUB Like & comment and get guaranteed subs!",1
OfficialGiveaway_999888,7,0,"Win iPhone giveaway!!! DM on Telegram @winfast",1
CryptoPumpSignals_555,102,8,"Crypto signals + airdrops. WhatsApp now!!!",1
MrBeastClone_000111,15,2,"I will send money to random people! Register at www.fakecash.example",1
VIRAL_TREND_BOOST_444555,9,1,"Boost views in 10 minutes. Cheap services. Contact @boost",1
YouTubeSupport_Verify_777888,3,0,"Your channel is at risk. Verify here: https://verify.example",1
EarnMoneyNoWork_333222,18,4,"No work income! Join now: http://earnfast.example",1
FreeGiftCards_123999,5,1,"Free Amazon gift cards! Click link and submit details.",1
