name,friends,followers,posts,bio,is_verified,has_profile_pic,label
Person 1928,20,49,1,,0,1,1
Chris Martin,1364,50,67,High school teacher | making STEM fun,0,1,0
Bot 9999,17,7,3,Click link below 💰,0,0,1
Maria Garcia,439,137,276,Data scientist | ML researcher,0,1,0
Person 1928,18,131,1,,0,0,1
Earn Fast,26,110,1,,0,0,1
Yuki Tanaka,214,50,704,Blogger | Lifestyle & wellness,0,1,0
User 8374,22,177,5,btc eth airdrop free coins,0,1,1
Cristiano Ronaldo,0,190687946,1760,Iconic musician 🎸 | 40+ years on stage,1,1,0
Account 293,15,84,3,,0,1,1
Ariana Grande,0,35396735,1634,Nobel Peace Prize laureate | Activist,1,1,0
Money Maker,0,59,6,earn $500/day 👇,0,0,1
Profit King,2,47,3,,0,0,1
Maria Garcia,387,149,686,Wildlife photographer based in Kenya,0,1,0
Sarah Jones,1646,50,696,Dog lover 🐾 | Hiking | Books,0,1,0
Yuki Tanaka,1133,189,998,photographer | travel 📷,0,1,0
Yuki Tanaka,1803,50,359,Dance teacher | choreographer,0,1,0
Kim Kardashian,0,82199454,3671,World-renowned chef 👨‍🍳 | Author of 3 cookbooks,1,1,0
Crypto Bob,16,122,5,📈 passive income daily,0,0,1
Investment Guru,26,176,2,,0,1,1
Sarah Jones,1796,50,229,Dog lover 🐾 | Hiking | Books,0,1,0
User 8374,18,142,4,investment advisor DM me,0,0,1
Money Maker,9,103,5,,0,1,1
Free Follower,22,80,5,,0,0,1
Person 1928,18,17,4,NFT investor | crypto tips,0,0,1
Taylor Swift,0,155156823,2972,Grammy-winning artist 🎵 | New album out now,1,1,0
Earn Fast,19,193,4,,0,0,1
Anna Lee,443,172,546,Gaming streamer | Twitch partner 🎮,0,1,0
John Smith,246,50,497,Wildlife photographer based in Kenya,0,1,0
The Rock,0,190726858,2134,Grammy-winning artist 🎵 | New album out now,1,1,0
Yuki Tanaka,1617,50,257,mom of 3 | foodie 🍕,0,1,0
Mike Brown,1906,289,652,High school teacher | making STEM fun,0,1,0
Ahmed Hassan,817,50,426,software engineer @ Google,0,1,0
Yuki Tanaka,1973,50,701,Yoga instructor | wellness coach 🧘,0,1,0
Click Here Now,3,49,5,NFT investor | crypto tips,0,0,1
Mike Brown,303,75,659,News journalist @NYT,0,1,0
Bot 9999,6,160,3,DM me to grow your account fast,0,0,1
Bot 9999,18,30,4,earn $500/day 👇,0,0,1
Profit King,1,84,6,FREE BTC airdrop → link in bio,0,1,1
John Smith,1613,50,706,mom of 3 | foodie 🍕,0,1,0
Selena Gomez,0,87953007,3499,Iconic musician 🎸 | 40+ years on stage,1,1,0
Investment Guru,1,15,4,🔞 link in bio,0,0,1
John Smith,1138,148,950,Marketing professional | keynote speaker,0,1,0
Mike Brown,1254,521,611,Medical student | future doctor 🩺,0,1,0
Crypto Bob,5,36,5,DM me to grow your account fast,0,1,1
Yuki Tanaka,1970,864,121,Nurse practitioner | women's health advocate,0,1,0
Chris Martin,537,50,715,mom of 3 | foodie 🍕,0,1,0
Chris Martin,469,63,184,Chef | Recipe creator 🍳,0,1,0
Kim Kardashian,0,82860979,4964,World-renowned chef 👨‍🍳 | Author of 3 cookbooks,1,1,0
Person 1928,21,113,5,investment advisor DM me,0,1,1
User 8374,23,156,4,DM me to grow your account fast,0,1,1
Sarah Jones,814,50,159,Developer | Open source enthusiast,0,1,0
Real Human 001,20,27,6,Get free followers — click bio link,0,0,1
David Clark,1968,50,355,Musician. Coffee addict. ☕,0,1,0
Anna Lee,204,93,835,Artist | Digital creator ✨,0,1,0
User 8374,16,54,6,crypto signals ✅ 99% win rate,0,0,1
User 8374,4,30,5,follow for follow back,0,0,1
Account 293,1,98,2,DM me to grow your account fast,0,0,1
User 8374,15,110,3,♻️ repost to win $1000,0,0,1
Chris Martin,1822,50,806,software engineer @ Google,0,1,0
Click Here Now,28,169,3,,0,1,1
Lisa White,1169,110,50,Architect | sustainable design,0,1,0
Crypto Bob,3,128,1,NFT investor | crypto tips,0,1,1
User 8374,6,185,6,♻️ repost to win $1000,0,1,1
User 8374,20,56,4,FREE BTC airdrop → link in bio,0,0,1
Person 1928,5,55,1,btc eth airdrop free coins,0,0,1
Ahmed Hassan,237,1551,517,Podcaster | interviewing founders,0,1,0
Profit King,12,66,5,,0,0,1
Cristiano Ronaldo,0,84783136,2857,Grammy-winning artist 🎵 | New album out now,1,1,0
Money Maker,13,8,1,FREE BTC airdrop → link in bio,0,0,1
Account 293,23,18,2,,0,0,1
Anna Lee,708,92,967,Data scientist | ML researcher,0,1,0
Click Here Now,29,135,3,NFT investor | crypto tips,0,0,1
Click Here Now,24,16,6,btc eth airdrop free coins,0,0,1
John Smith,141,69,590,Yoga instructor | wellness coach 🧘,0,1,0
David Clark,825,50,423,Teacher & lifelong learner 📚,0,1,0
Crypto Bob,0,28,3,,0,0,1
Anna Lee,1771,53,850,Dog lover 🐾 | Hiking | Books,0,1,0
Yuki Tanaka,1621,50,29,UX designer @Meta,0,1,0
Person 1928,4,159,0,🔞 link in bio,0,1,1
Ariana Grande,0,186204791,4461,Fashion icon | Creative Director @LuxuryBrand,1,1,0
Priya Sharma,146,605,103,photographer | travel 📷,0,1,0
Free Follower,21,53,7,promo available 📩,0,0,1
Crypto Bob,13,108,7,📈 passive income daily,0,1,1
Click Here Now,18,61,7,DM me to grow your account fast,0,1,1
Click Here Now,28,180,4,btc eth airdrop free coins,0,1,1
Free Follower,25,29,3,promo available 📩,0,0,1
Chris Martin,818,50,108,Artist | Digital creator ✨,0,1,0
Maria Garcia,415,50,668,Environmental activist 🌱,0,1,0
Crypto Bob,25,87,1,📈 passive income daily,0,0,1
Real Human 001,28,1,2,,0,0,1
Real Human 001,1,16,1,promo available 📩,0,0,1
