username,followers,following,posts,bio,is_verified,has_profile_pic,label
emma.j,480247,16,0,follow for follow back,0,1,1
mike_2023,62982,1,13,📈 passive income daily,0,0,1
surf_with_evan,50,121,20,News journalist @NYT,0,1,0
zz_promo_zz,792,3057,7206,btc eth airdrop free coins,0,1,1
john_doe,395374,94,8,♻️ repost to win $1000,0,0,1
tim_cook,186939691,1203,697,CEO @Fortune500 | Author | Speaker,1,1,0
bot_account_7,59,5628,4,investment advisor DM me,0,0,1
user8374629,7520,7041,2208,earn $500/day 👇,0,1,1
1234567890ab,72,6525,4,,0,0,1
mike_2023,96,139,5,Artist | Digital creator ✨,0,1,0
1234567890ab,6042,3864,6151,NFT investor | crypto tips,0,1,1
nike,238002722,1119,504,Nobel Peace Prize laureate | Activist,1,1,0
botanist_beth,52,30,5,Medical student | future doctor 🩺,0,1,0
airdrop_winner99,5271,4182,6413,DM me to grow your account fast,0,1,1
journeys_with_kai,353519,98,2,🔞 link in bio,0,0,1
real_human_01234,1293,3865,2789,NFT investor | crypto tips,0,1,1
therock,2309374,516,4455,Nobel Peace Prize laureate | Activist,1,1,0
fit_jessica,78811,36,3,Get free followers — click bio link,0,0,1
bot_account_7,6321,4354,6485,investment advisor DM me,0,1,1
bot_account_7,3789,2476,7979,btc eth airdrop free coins,0,1,1
john_doe,236,347,5,Traveler | 50+ countries visited ✈️,0,1,0
therock128,355362,22,23,Official fan account,0,1,1
lisa_writes,50,70,5,Blogger | Lifestyle & wellness,0,1,0
taylorswift750,816791,47,45,Official fan account,0,1,1
xXx_profit_xXx,71,5032,4,follow for follow back,0,0,1
the_real_sam,50,119,5,Nurse practitioner | women's health advocate,0,1,0
tradebot_fx,16,3435,2,follow for follow back,0,1,1
free_followers_now,4296,5438,3524,investment advisor DM me,0,1,1
get_rich_88,73,7196,0,NFT investor | crypto tips,0,1,1
mark_adventure,287063,83,5,DM me to grow your account fast,0,0,1
get_rich_88,822,5309,2551,,0,1,1
mindful_maya,71,135,5,Developer | Open source enthusiast,0,1,0
nina_art,114985,20,11,,0,1,1
lena_captures,126,298,5,Dog lover 🐾 | Hiking | Books,0,1,0
journeys_with_kai,63,31,15,Marketing professional | keynote speaker,0,1,0
daniel_f,202267,66,7,Real estate investor | DM for passive income secrets,0,0,1
nasa,250801508,178,2338,Nobel Peace Prize laureate | Activist,1,1,0
nina_art,581140,2884,2016,software engineer @ Google,0,1,0
amy_joy,77,40,5,Dog lover 🐾 | Hiking | Books,0,1,0
tom_techie,86,178,5,Blogger | Lifestyle & wellness,0,1,0
dev_pete,866930,1504,1411,photographer | travel 📷,0,1,0
xXx_profit_xXx,65,5908,4,,0,0,1
amy_joy,67,99,6,Developer | Open source enthusiast,0,1,0
daniel_f,117,228,6,Dance teacher | choreographer,0,1,0
neymarjr,201666087,938,4707,Grammy-winning artist 🎵 | New album out now,1,1,0
emma.j,151,106,5,Architect | sustainable design,0,1,0
surf_with_evan,423832,54,4,earn $500/day 👇,0,0,1
therock896,1140676,47,17,Official fan account,0,1,1
cristiano393,1424345,46,14,Official fan account,0,1,1
grace_beauty,63,105,11,Musician. Coffee addict. ☕,0,1,0
mike_2023,337,573,5,Nurse practitioner | women's health advocate,0,1,0
free_followers_now,7422,2431,6620,,0,1,1
mindful_maya,686389,704,1029,Data scientist | ML researcher,1,1,0
lena_captures,360006,97,10,btc eth airdrop free coins,0,1,1
b.scott.official,393930,43,13,Get free followers — click bio link,0,0,1
tim_cook900,385001,24,26,Official fan account,0,1,1
nike745,1033394,45,29,Official fan account,0,1,1
earn_fast_2024,42,6813,2,,0,1,1
real_human_01234,73,5932,2,NFT investor | crypto tips,0,0,1
1234567890ab,3194,5043,1854,DM me to grow your account fast,0,1,1
get_rich_88,4877,7004,4362,investment advisor DM me,0,1,1
photo_by_anna,70,157,18,photographer | travel 📷,0,1,0
acc29471838,295,5610,4093,Click link below 💰,0,1,1
lisa_writes,68,131,5,Marketing professional | keynote speaker,0,1,0
crypto_king_9999,1011,2582,6089,follow for follow back,0,1,1
grace_beauty,50,90,5,High school teacher | making STEM fun,0,1,0
get_rich_88,74,6238,3,,0,1,1
tom_techie,413674,641,1217,Retired engineer | amateur astronomer 🔭,0,1,0
code_master,286078,65,5,follow for follow back,0,0,1
tom_techie,331,249,13,Dog lover 🐾 | Hiking | Books,0,1,0
9182736450,19,3406,3,btc eth airdrop free coins,0,1,1
nina_art,26885,49,3,Get free followers — click bio link,0,0,1
therock155,1595494,14,22,Official fan account,0,1,1
real_human_01234,6194,2278,4509,investment advisor DM me,0,1,1
fcbarcelona,143774256,1546,3359,World #1 tennis player 🎾 | Foundation: @AidFundation,1,1,0
mindful_maya,310287,1442,113,Yoga instructor | wellness coach 🧘,0,1,0
billgates232,1674568,11,8,Official fan account,0,1,1
neymarjr,13005238,483,834,Grammy-winning artist 🎵 | New album out now,1,1,0
john_doe,50,45,12,Retired engineer | amateur astronomer 🔭,0,1,0
free_follower_bot,12,4396,4,📈 passive income daily,0,0,1
arianagrande,84128609,1435,2771,International supermodel | Agency: IMG Models,1,1,0
nina_art,66,124,8,Architect | sustainable design,0,1,0
grace_beauty,336636,42,11,,0,1,1
daniel_f,171,105,5,Dance teacher | choreographer,0,1,0
amy_joy,50,43,5,mom of 3 | foodie 🍕,0,1,0
fit_jessica,50,58,27,photographer | travel 📷,0,1,0
amy_joy,125,157,9,Traveler | 50+ countries visited ✈️,0,1,0
amy_joy,50,60,16,Entrepreneur | Founder @startup,0,1,0
kyliejenner,260379698,962,2795,Hollywood actor | Upcoming: Summer Blockbuster 2025,1,1,0
selenagomez,211505586,1471,1737,Oscar-winning director | Production company: @StudioX,1,1,0
bot_account_7,1,5500,0,📈 passive income daily,0,1,1
dev_pete,75,50,5,Artist | Digital creator ✨,0,1,0
photo_by_anna,814313,1755,1667,Nurse practitioner | women's health advocate,0,1,0
therock957,165323,8,49,Official fan account,0,1,1
airdrop_winner99,3138,3075,4778,investment advisor DM me,0,1,1
oprah264,430810,13,47,Official fan account,0,1,1
nina_art,50,28,5,Gaming streamer | Twitch partner 🎮,0,1,0
q7w8e9r0t1y2,42,3794,0,,0,0,1
airdrop_winner99,13,4713,1,DM me to grow your account fast,0,1,1
realmadrid578,783731,46,36,Official fan account,0,1,1
follow_back_101,31,5431,0,,0,0,1
zz_promo_zz,31,4172,2,,0,1,1
alex_travel,158,345,5,UX designer @Meta,0,1,0
acc29471838,77,6192,3,promo available 📩,0,0,1
daniel_f,296006,17,12,🔞 link in bio,0,1,1
b.scott.official,65618,35,9,follow for follow back,0,1,1
1234567890ab,36,6863,0,btc eth airdrop free coins,0,0,1
creative_dan,69,114,8,UX designer @Meta,0,1,0
q7w8e9r0t1y2,2288,5335,3504,investment advisor DM me,0,1,1
1234567890ab,18,5486,0,,0,0,1
tom_techie,95,54,5,Dance teacher | choreographer,0,1,0
real_human_01234,5767,6170,2688,btc eth airdrop free coins,0,1,1
fcbarcelona754,546596,44,27,Official fan account,0,1,1
crypto_king_9999,2965,3560,4623,📈 passive income daily,0,1,1
grace_beauty,50,20,5,Freelance illustrator | art prints available,0,1,0
chef_marco,579189,1673,2497,Freelance illustrator | art prints available,0,1,0
earn_fast_2024,469,4781,7484,DM me to grow your account fast,0,1,1
real_human_01234,5676,4803,7934,,0,1,1
chef_marco,170,355,8,Architect | sustainable design,0,1,0
mike_2023,50,20,7,Musician. Coffee addict. ☕,0,1,0
botanist_beth,50,95,81,News journalist @NYT,0,1,0
earn_fast_2024,2239,4216,1479,,0,1,1
creative_dan,50,31,5,Entrepreneur | Founder @startup,0,1,0
crypto_king_9999,6997,6698,2713,♻️ repost to win $1000,0,1,1
creative_dan,413297,48,5,btc eth airdrop free coins,0,1,1
